id,reltrad,reltrad2,reltrad3
1329,Roman Catholic,Roman Catholic,Roman Catholic
1330,Conservative Protestant,Conservative Protestant,Conservative Protestant
1331,None,None,None
1332,Conservative Protestant,Conservative Protestant,Conservative Protestant
1333,Roman Catholic,Roman Catholic,Roman Catholic
1334,Conservative Protestant,Conservative Protestant,Conservative Protestant
1335,None,None,None
1336,None,None,None
1337,Conservative Protestant,Conservative Protestant,Conservative Protestant
1338,Conservative Protestant,Conservative Protestant,Conservative Protestant
1339,Conservative Protestant,Conservative Protestant,Conservative Protestant
1340,Roman Catholic,Roman Catholic,Roman Catholic
1341,Conservative Protestant,Conservative Protestant,Conservative Protestant
1342,Roman Catholic,Roman Catholic,Roman Catholic
1343,Roman Catholic,Roman Catholic,Roman Catholic
1344,Conservative Protestant,Conservative Protestant,Conservative Protestant
1345,Conservative Protestant,Conservative Protestant,Conservative Protestant
1346,Mainline Protestant,Mainline Protestant,Mainline Protestant
1347,None,None,None
1348,Mainline Protestant,Mainline Protestant,Mainline Protestant
1349,None,None,None
1350,Conservative Protestant,Conservative Protestant,Conservative Protestant
1351,NA,NA,NA
1352,Conservative Protestant,Conservative Protestant,Conservative Protestant
1353,Mainline Protestant,Mainline Protestant,Mainline Protestant
1354,Mainline Protestant,Mainline Protestant,Mainline Protestant
1355,Mainline Protestant,Mainline Protestant,Mainline Protestant
1356,Roman Catholic,Roman Catholic,Roman Catholic
1357,None,None,None
1358,Roman Catholic,Roman Catholic,Roman Catholic
1359,Roman Catholic,Roman Catholic,Roman Catholic
1360,Conservative Protestant,Conservative Protestant,Conservative Protestant
1361,Conservative Protestant,Conservative Protestant,Conservative Protestant
1362,Conservative Protestant,Conservative Protestant,Protestant No Denomination
1363,Conservative Protestant,Conservative Protestant,Conservative Protestant
1364,Roman Catholic,Roman Catholic,Roman Catholic
1365,Black Protestant,Black Protestant,Black Protestant
1366,Roman Catholic,Roman Catholic,Roman Catholic
1367,Roman Catholic,Roman Catholic,Roman Catholic
1368,Conservative Protestant,Conservative Protestant,Conservative Protestant
1369,Conservative Protestant,Conservative Protestant,Conservative Protestant
1370,Conservative Protestant,Conservative Protestant,Conservative Protestant
1371,Conservative Protestant,Conservative Protestant,Conservative Protestant
1372,Roman Catholic,Roman Catholic,Roman Catholic
1373,Conservative Protestant,Conservative Protestant,Conservative Protestant
1374,Conservative Protestant,Conservative Protestant,Conservative Protestant
1375,Conservative Protestant,Conservative Protestant,Conservative Protestant
1376,None,None,None
1377,Black Protestant,Black Protestant,Black Protestant
1378,Black Protestant,Black Protestant,Black Protestant
1379,Conservative Protestant,Conservative Protestant,Conservative Protestant
1380,Black Protestant,Black Protestant,Black Protestant
1381,Conservative Protestant,Conservative Protestant,Conservative Protestant
1382,Conservative Protestant,Conservative Protestant,Conservative Protestant
1383,Conservative Protestant,Conservative Protestant,Conservative Protestant
1384,Conservative Protestant,Conservative Protestant,Conservative Protestant
1385,Black Protestant,Black Protestant,Black Protestant
1386,Conservative Protestant,Conservative Protestant,Conservative Protestant
1387,Conservative Protestant,Conservative Protestant,Conservative Protestant
1388,Conservative Protestant,Conservative Protestant,Conservative Protestant
1389,Conservative Protestant,Conservative Protestant,Conservative Protestant
1390,Black Protestant,Black Protestant,Black Protestant
1391,Black Protestant,Black Protestant,Black Protestant
1392,Black Protestant,Black Protestant,Black Protestant
1393,Conservative Protestant,Conservative Protestant,Conservative Protestant
1394,Conservative Protestant,Conservative Protestant,Conservative Protestant
1395,Conservative Protestant,Conservative Protestant,Conservative Protestant
1396,Black Protestant,Black Protestant,Black Protestant
1397,Mainline Protestant,Mainline Protestant,Mainline Protestant
1398,Black Protestant,Black Protestant,Black Protestant
1399,Mainline Protestant,Mainline Protestant,Mainline Protestant
1400,Conservative Protestant,Conservative Protestant,Conservative Protestant
1401,Conservative Protestant,Conservative Protestant,Conservative Protestant
1402,Black Protestant,Black Protestant,Black Protestant
1403,Conservative Protestant,Conservative Protestant,Conservative Protestant
1404,NA,Conservative Protestant,Protestant No Denomination
1405,Conservative Protestant,Conservative Protestant,Conservative Protestant
1406,Conservative Protestant,Conservative Protestant,Conservative Protestant
1407,Mainline Protestant,Mainline Protestant,Mainline Protestant
1408,Mainline Protestant,Mainline Protestant,Mainline Protestant
1409,None,None,None
1410,Mainline Protestant,Mainline Protestant,Mainline Protestant
1411,Mainline Protestant,Mainline Protestant,Mainline Protestant
1412,Roman Catholic,Roman Catholic,Roman Catholic
1413,None,None,None
1414,NA,NA,NA
1415,Conservative Protestant,Conservative Protestant,Conservative Protestant
1416,Mainline Protestant,Mainline Protestant,Mainline Protestant
1417,Mainline Protestant,Mainline Protestant,Mainline Protestant
1418,Mainline Protestant,Mainline Protestant,Mainline Protestant
1419,Conservative Protestant,Conservative Protestant,Conservative Protestant
1420,Mainline Protestant,Mainline Protestant,Mainline Protestant
1421,Conservative Protestant,Conservative Protestant,Conservative Protestant
1422,Conservative Protestant,Conservative Protestant,Conservative Protestant
1423,None,None,None
1424,Other,Other,Other
1425,Roman Catholic,Roman Catholic,Roman Catholic
1426,NA,Conservative Protestant,Protestant No Denomination
1427,Mainline Protestant,Mainline Protestant,Mainline Protestant
1428,Mainline Protestant,Mainline Protestant,Mainline Protestant
1429,Conservative Protestant,Conservative Protestant,Conservative Protestant
1430,Conservative Protestant,Conservative Protestant,Conservative Protestant
1431,Mainline Protestant,Mainline Protestant,Mainline Protestant
1432,Conservative Protestant,Conservative Protestant,Conservative Protestant
1433,None,None,None
1434,Conservative Protestant,Conservative Protestant,Conservative Protestant
1435,Mainline Protestant,Mainline Protestant,Mainline Protestant
1436,Mainline Protestant,Mainline Protestant,Mainline Protestant
1437,Conservative Protestant,Conservative Protestant,Conservative Protestant
1438,Mainline Protestant,Mainline Protestant,Mainline Protestant
1439,Roman Catholic,Roman Catholic,Roman Catholic
1440,Mainline Protestant,Mainline Protestant,Mainline Protestant
1441,Mainline Protestant,Mainline Protestant,Mainline Protestant
1442,Mainline Protestant,Mainline Protestant,Mainline Protestant
1443,Mainline Protestant,Mainline Protestant,Mainline Protestant
1444,Roman Catholic,Roman Catholic,Roman Catholic
1445,Mainline Protestant,Mainline Protestant,Mainline Protestant
1446,None,None,None
1447,Conservative Protestant,Conservative Protestant,Conservative Protestant
1448,Mainline Protestant,Mainline Protestant,Mainline Protestant
1449,Mainline Protestant,Mainline Protestant,Mainline Protestant
1450,Conservative Protestant,Conservative Protestant,Conservative Protestant
1451,Mainline Protestant,Mainline Protestant,Mainline Protestant
1452,Conservative Protestant,Conservative Protestant,Protestant No Denomination
1453,Conservative Protestant,Conservative Protestant,Conservative Protestant
1454,Conservative Protestant,Conservative Protestant,Conservative Protestant
1455,Conservative Protestant,Conservative Protestant,Protestant No Denomination
1456,Conservative Protestant,Conservative Protestant,Conservative Protestant
1457,Conservative Protestant,Conservative Protestant,Protestant No Denomination
1458,NA,Conservative Protestant,Protestant No Denomination
1459,Black Protestant,Black Protestant,Black Protestant
1460,Black Protestant,Black Protestant,Black Protestant
1461,Black Protestant,Black Protestant,Black Protestant
1462,Black Protestant,Black Protestant,Black Protestant
1463,NA,NA,NA
1464,Conservative Protestant,Conservative Protestant,Conservative Protestant
1465,Conservative Protestant,Conservative Protestant,Conservative Protestant
1466,Conservative Protestant,Conservative Protestant,Conservative Protestant
1467,Conservative Protestant,Conservative Protestant,Conservative Protestant
1468,Mainline Protestant,Mainline Protestant,Mainline Protestant
1469,Conservative Protestant,Conservative Protestant,Conservative Protestant
1470,Other,Other,Other
1471,Black Protestant,Black Protestant,Black Protestant
1472,Conservative Protestant,Conservative Protestant,Conservative Protestant
1473,Conservative Protestant,Conservative Protestant,Conservative Protestant
1474,Black Protestant,Black Protestant,Black Protestant
1475,Black Protestant,Black Protestant,Black Protestant
1476,None,None,None
1477,Conservative Protestant,Conservative Protestant,Conservative Protestant
1478,Conservative Protestant,Conservative Protestant,Conservative Protestant
1479,Roman Catholic,Roman Catholic,Roman Catholic
1480,Conservative Protestant,Conservative Protestant,Conservative Protestant
1481,None,None,None
1482,Mainline Protestant,Mainline Protestant,Mainline Protestant
1483,Conservative Protestant,Conservative Protestant,Protestant No Denomination
1484,Mainline Protestant,Mainline Protestant,Mainline Protestant
1485,Roman Catholic,Roman Catholic,Roman Catholic
1486,NA,Conservative Protestant,Protestant No Denomination
1487,Roman Catholic,Roman Catholic,Roman Catholic
1488,Mainline Protestant,Mainline Protestant,Mainline Protestant
1489,Mainline Protestant,Mainline Protestant,Mainline Protestant
1490,None,None,None
1491,Roman Catholic,Roman Catholic,Roman Catholic
1492,Other,Other,Other
1493,Mainline Protestant,Mainline Protestant,Mainline Protestant
1494,Conservative Protestant,Conservative Protestant,Conservative Protestant
1495,Conservative Protestant,Conservative Protestant,Conservative Protestant
1496,Mainline Protestant,Mainline Protestant,Mainline Protestant
1497,Mainline Protestant,Mainline Protestant,Mainline Protestant
1498,NA,Conservative Protestant,Protestant No Denomination
1499,None,None,None
1500,Other,Other,Other
1501,None,None,None
1502,Mainline Protestant,Mainline Protestant,Mainline Protestant
1503,Mainline Protestant,Mainline Protestant,Mainline Protestant
1504,Mainline Protestant,Mainline Protestant,Mainline Protestant
1505,Mainline Protestant,Mainline Protestant,Mainline Protestant
1506,Mainline Protestant,Mainline Protestant,Mainline Protestant
1507,Roman Catholic,Roman Catholic,Roman Catholic
1508,Mainline Protestant,Mainline Protestant,Mainline Protestant
1509,Mainline Protestant,Mainline Protestant,Mainline Protestant
1510,Mainline Protestant,Mainline Protestant,Mainline Protestant
1511,Roman Catholic,Roman Catholic,Roman Catholic
1512,Mainline Protestant,Mainline Protestant,Mainline Protestant
1513,Roman Catholic,Roman Catholic,Roman Catholic
1514,Other,Other,Other
1515,None,None,None
1516,Mainline Protestant,Mainline Protestant,Mainline Protestant
1517,Roman Catholic,Roman Catholic,Roman Catholic
1518,Mainline Protestant,Mainline Protestant,Mainline Protestant
1519,Mainline Protestant,Mainline Protestant,Mainline Protestant
1520,Roman Catholic,Roman Catholic,Roman Catholic
1521,Roman Catholic,Roman Catholic,Roman Catholic
1522,Other,Other,Other
1523,Other,Other,Other
1524,Other,Other,Other
1525,Other,Other,Other
1526,Conservative Protestant,Conservative Protestant,Conservative Protestant
1527,None,None,None
1528,Roman Catholic,Roman Catholic,Roman Catholic
1529,Roman Catholic,Roman Catholic,Roman Catholic
1530,Conservative Protestant,Conservative Protestant,Conservative Protestant
1531,Conservative Protestant,Conservative Protestant,Conservative Protestant
1532,Mainline Protestant,Mainline Protestant,Mainline Protestant
1533,Roman Catholic,Roman Catholic,Roman Catholic
1534,Conservative Protestant,Conservative Protestant,Protestant No Denomination
1535,Mainline Protestant,Mainline Protestant,Mainline Protestant
1536,Mainline Protestant,Mainline Protestant,Mainline Protestant
1537,Other,Other,Other
1,Other,Other,Other
2,None,None,None
3,Mainline Protestant,Mainline Protestant,Mainline Protestant
4,None,None,None
5,Black Protestant,Black Protestant,Black Protestant
6,Black Protestant,Black Protestant,Black Protestant
7,Mainline Protestant,Mainline Protestant,Mainline Protestant
8,Jewish,Jewish,Jewish
9,Jewish,Jewish,Jewish
10,Jewish,Jewish,Jewish
11,Roman Catholic,Roman Catholic,Roman Catholic
12,Roman Catholic,Roman Catholic,Roman Catholic
13,Roman Catholic,Roman Catholic,Roman Catholic
14,Jewish,Jewish,Jewish
15,Mainline Protestant,Mainline Protestant,Mainline Protestant
16,None,None,None
17,Jewish,Jewish,Jewish
18,Jewish,Jewish,Jewish
19,Other,Other,Other
20,Black Protestant,Black Protestant,Black Protestant
21,Roman Catholic,Roman Catholic,Roman Catholic
22,Black Protestant,Black Protestant,Black Protestant
23,None,None,None
24,Roman Catholic,Roman Catholic,Roman Catholic
25,Roman Catholic,Roman Catholic,Roman Catholic
26,None,None,None
27,None,None,None
28,Black Protestant,Black Protestant,Black Protestant
29,Black Protestant,Black Protestant,Black Protestant
30,Black Protestant,Black Protestant,Black Protestant
31,Black Protestant,Black Protestant,Black Protestant
32,Roman Catholic,Roman Catholic,Roman Catholic
33,Black Protestant,Black Protestant,Black Protestant
34,Conservative Protestant,Conservative Protestant,Conservative Protestant
35,Roman Catholic,Roman Catholic,Roman Catholic
36,Roman Catholic,Roman Catholic,Roman Catholic
37,Roman Catholic,Roman Catholic,Roman Catholic
38,Roman Catholic,Roman Catholic,Roman Catholic
39,None,None,None
40,Roman Catholic,Roman Catholic,Roman Catholic
41,Mainline Protestant,Mainline Protestant,Mainline Protestant
42,Jewish,Jewish,Jewish
43,Jewish,Jewish,Jewish
44,Jewish,Jewish,Jewish
45,Mainline Protestant,Mainline Protestant,Mainline Protestant
46,Roman Catholic,Roman Catholic,Roman Catholic
47,Roman Catholic,Roman Catholic,Roman Catholic
48,Other,Other,Other
49,Conservative Protestant,Conservative Protestant,Conservative Protestant
50,Other,Other,Other
51,Mainline Protestant,Mainline Protestant,Mainline Protestant
52,None,None,None
53,Conservative Protestant,Conservative Protestant,Conservative Protestant
54,Roman Catholic,Roman Catholic,Roman Catholic
55,Mainline Protestant,Mainline Protestant,Mainline Protestant
56,None,None,None
57,Roman Catholic,Roman Catholic,Roman Catholic
58,Other,Other,Other
59,Roman Catholic,Roman Catholic,Roman Catholic
60,Black Protestant,Black Protestant,Black Protestant
61,Roman Catholic,Roman Catholic,Roman Catholic
62,Conservative Protestant,Conservative Protestant,Conservative Protestant
63,Jewish,Jewish,Jewish
64,Mainline Protestant,Mainline Protestant,Mainline Protestant
65,Jewish,Jewish,Jewish
66,None,None,None
67,Jewish,Jewish,Jewish
68,None,None,None
69,NA,Conservative Protestant,Protestant No Denomination
70,NA,Conservative Protestant,Protestant No Denomination
71,Roman Catholic,Roman Catholic,Roman Catholic
72,Roman Catholic,Roman Catholic,Roman Catholic
73,Conservative Protestant,Conservative Protestant,Conservative Protestant
74,Roman Catholic,Roman Catholic,Roman Catholic
75,Conservative Protestant,Conservative Protestant,Conservative Protestant
76,None,None,None
77,NA,Conservative Protestant,Protestant No Denomination
78,None,None,None
79,Black Protestant,Black Protestant,Black Protestant
80,Other,Other,Other
81,Roman Catholic,Roman Catholic,Roman Catholic
82,Roman Catholic,Roman Catholic,Roman Catholic
83,Roman Catholic,Roman Catholic,Roman Catholic
84,NA,Conservative Protestant,Protestant No Denomination
85,None,None,None
86,Roman Catholic,Roman Catholic,Roman Catholic
87,Mainline Protestant,Mainline Protestant,Mainline Protestant
88,Jewish,Jewish,Jewish
89,Roman Catholic,Roman Catholic,Roman Catholic
90,Roman Catholic,Roman Catholic,Roman Catholic
91,Roman Catholic,Roman Catholic,Roman Catholic
92,Conservative Protestant,Conservative Protestant,Conservative Protestant
93,Roman Catholic,Roman Catholic,Roman Catholic
94,Mainline Protestant,Mainline Protestant,Mainline Protestant
95,Roman Catholic,Roman Catholic,Roman Catholic
96,Roman Catholic,Roman Catholic,Roman Catholic
97,Roman Catholic,Roman Catholic,Roman Catholic
98,Mainline Protestant,Mainline Protestant,Mainline Protestant
99,Roman Catholic,Roman Catholic,Roman Catholic
100,Roman Catholic,Roman Catholic,Roman Catholic
101,None,None,None
102,Mainline Protestant,Mainline Protestant,Mainline Protestant
103,Roman Catholic,Roman Catholic,Roman Catholic
104,Mainline Protestant,Mainline Protestant,Mainline Protestant
105,Mainline Protestant,Mainline Protestant,Mainline Protestant
106,Roman Catholic,Roman Catholic,Roman Catholic
107,Mainline Protestant,Mainline Protestant,Mainline Protestant
108,Roman Catholic,Roman Catholic,Roman Catholic
109,None,None,None
110,Roman Catholic,Roman Catholic,Roman Catholic
111,Roman Catholic,Roman Catholic,Roman Catholic
112,Mainline Protestant,Mainline Protestant,Mainline Protestant
113,None,None,None
114,Conservative Protestant,Conservative Protestant,Protestant No Denomination
115,Roman Catholic,Roman Catholic,Roman Catholic
116,Roman Catholic,Roman Catholic,Roman Catholic
117,None,None,None
118,Conservative Protestant,Conservative Protestant,Protestant No Denomination
119,Roman Catholic,Roman Catholic,Roman Catholic
120,Roman Catholic,Roman Catholic,Roman Catholic
121,Conservative Protestant,Conservative Protestant,Conservative Protestant
122,Roman Catholic,Roman Catholic,Roman Catholic
123,Roman Catholic,Roman Catholic,Roman Catholic
124,Roman Catholic,Roman Catholic,Roman Catholic
125,Conservative Protestant,Conservative Protestant,Conservative Protestant
126,NA,Conservative Protestant,Protestant No Denomination
127,None,None,None
128,Black Protestant,Black Protestant,Black Protestant
129,Black Protestant,Black Protestant,Black Protestant
130,Mainline Protestant,Mainline Protestant,Mainline Protestant
131,None,None,None
132,Roman Catholic,Roman Catholic,Roman Catholic
133,None,None,None
134,Roman Catholic,Roman Catholic,Roman Catholic
135,Roman Catholic,Roman Catholic,Roman Catholic
136,None,None,None
137,Mainline Protestant,Mainline Protestant,Mainline Protestant
138,Mainline Protestant,Mainline Protestant,Mainline Protestant
139,NA,Conservative Protestant,Protestant No Denomination
140,Roman Catholic,Roman Catholic,Roman Catholic
141,NA,Conservative Protestant,Protestant No Denomination
142,NA,Conservative Protestant,Protestant No Denomination
143,Roman Catholic,Roman Catholic,Roman Catholic
144,Mainline Protestant,Mainline Protestant,Mainline Protestant
145,Roman Catholic,Roman Catholic,Roman Catholic
146,Roman Catholic,Roman Catholic,Roman Catholic
147,Conservative Protestant,Conservative Protestant,Conservative Protestant
148,Mainline Protestant,Mainline Protestant,Mainline Protestant
149,Roman Catholic,Roman Catholic,Roman Catholic
150,Conservative Protestant,Conservative Protestant,Conservative Protestant
151,Mainline Protestant,Mainline Protestant,Mainline Protestant
152,Roman Catholic,Roman Catholic,Roman Catholic
153,Conservative Protestant,Conservative Protestant,Protestant No Denomination
154,Roman Catholic,Roman Catholic,Roman Catholic
155,Black Protestant,Black Protestant,Black Protestant
156,Black Protestant,Black Protestant,Black Protestant
157,Mainline Protestant,Mainline Protestant,Mainline Protestant
158,Other,Other,Other
159,Roman Catholic,Roman Catholic,Roman Catholic
160,Roman Catholic,Roman Catholic,Roman Catholic
161,Roman Catholic,Roman Catholic,Roman Catholic
162,None,None,None
163,Roman Catholic,Roman Catholic,Roman Catholic
164,Mainline Protestant,Mainline Protestant,Mainline Protestant
165,Mainline Protestant,Mainline Protestant,Mainline Protestant
166,Mainline Protestant,Mainline Protestant,Mainline Protestant
167,None,None,None
168,Roman Catholic,Roman Catholic,Roman Catholic
169,Roman Catholic,Roman Catholic,Roman Catholic
170,Mainline Protestant,Mainline Protestant,Mainline Protestant
171,Mainline Protestant,Mainline Protestant,Mainline Protestant
172,Jewish,Jewish,Jewish
173,Roman Catholic,Roman Catholic,Roman Catholic
174,Black Protestant,Black Protestant,Black Protestant
175,Black Protestant,Black Protestant,Black Protestant
176,Mainline Protestant,Mainline Protestant,Mainline Protestant
177,None,None,None
178,None,None,None
179,Mainline Protestant,Mainline Protestant,Mainline Protestant
180,NA,NA,NA
181,Conservative Protestant,Conservative Protestant,Conservative Protestant
182,Roman Catholic,Roman Catholic,Roman Catholic
183,Roman Catholic,Roman Catholic,Roman Catholic
184,Mainline Protestant,Mainline Protestant,Mainline Protestant
185,Roman Catholic,Roman Catholic,Roman Catholic
186,Roman Catholic,Roman Catholic,Roman Catholic
187,None,None,None
188,Other,Other,Other
189,Other,Other,Other
190,Black Protestant,Black Protestant,Black Protestant
191,Black Protestant,Black Protestant,Black Protestant
192,Black Protestant,Black Protestant,Black Protestant
193,Black Protestant,Black Protestant,Black Protestant
194,Roman Catholic,Roman Catholic,Roman Catholic
195,Black Protestant,Black Protestant,Black Protestant
196,Black Protestant,Black Protestant,Black Protestant
197,Black Protestant,Black Protestant,Black Protestant
198,None,None,None
199,Conservative Protestant,Conservative Protestant,Protestant No Denomination
200,Black Protestant,Black Protestant,Black Protestant
201,Other,Other,Other
202,Conservative Protestant,Conservative Protestant,Protestant No Denomination
203,Other,Other,Other
204,Mainline Protestant,Mainline Protestant,Mainline Protestant
205,None,None,None
206,Black Protestant,Black Protestant,Black Protestant
207,Mainline Protestant,Mainline Protestant,Mainline Protestant
208,Conservative Protestant,Conservative Protestant,Conservative Protestant
209,NA,Conservative Protestant,Protestant No Denomination
210,Conservative Protestant,Conservative Protestant,Conservative Protestant
211,NA,Conservative Protestant,Protestant No Denomination
212,Conservative Protestant,Conservative Protestant,Conservative Protestant
213,Mainline Protestant,Mainline Protestant,Mainline Protestant
214,Conservative Protestant,Conservative Protestant,Conservative Protestant
215,NA,Conservative Protestant,Protestant No Denomination
216,Conservative Protestant,Conservative Protestant,Conservative Protestant
217,Roman Catholic,Roman Catholic,Roman Catholic
218,Conservative Protestant,Conservative Protestant,Protestant No Denomination
219,Conservative Protestant,Conservative Protestant,Conservative Protestant
220,Roman Catholic,Roman Catholic,Roman Catholic
221,Black Protestant,Black Protestant,Black Protestant
222,Conservative Protestant,Conservative Protestant,Conservative Protestant
223,Black Protestant,Black Protestant,Black Protestant
224,Conservative Protestant,Conservative Protestant,Conservative Protestant
225,Roman Catholic,Roman Catholic,Roman Catholic
226,Conservative Protestant,Conservative Protestant,Conservative Protestant
227,Jewish,Jewish,Jewish
228,Roman Catholic,Roman Catholic,Roman Catholic
229,Roman Catholic,Roman Catholic,Roman Catholic
230,None,None,None
231,Conservative Protestant,Conservative Protestant,Conservative Protestant
232,Conservative Protestant,Conservative Protestant,Conservative Protestant
233,Conservative Protestant,Conservative Protestant,Conservative Protestant
234,Roman Catholic,Roman Catholic,Roman Catholic
235,Roman Catholic,Roman Catholic,Roman Catholic
236,Conservative Protestant,Conservative Protestant,Conservative Protestant
237,Conservative Protestant,Conservative Protestant,Conservative Protestant
238,Other,Other,Other
239,Jewish,Jewish,Jewish
240,Mainline Protestant,Mainline Protestant,Mainline Protestant
241,Roman Catholic,Roman Catholic,Roman Catholic
242,Roman Catholic,Roman Catholic,Roman Catholic
243,Jewish,Jewish,Jewish
244,Roman Catholic,Roman Catholic,Roman Catholic
245,Mainline Protestant,Mainline Protestant,Mainline Protestant
246,Conservative Protestant,Conservative Protestant,Protestant No Denomination
247,Roman Catholic,Roman Catholic,Roman Catholic
248,Roman Catholic,Roman Catholic,Roman Catholic
249,Roman Catholic,Roman Catholic,Roman Catholic
250,Roman Catholic,Roman Catholic,Roman Catholic
251,Roman Catholic,Roman Catholic,Roman Catholic
252,Roman Catholic,Roman Catholic,Roman Catholic
253,None,None,None
254,Other,Other,Other
255,Roman Catholic,Roman Catholic,Roman Catholic
256,Roman Catholic,Roman Catholic,Roman Catholic
257,Roman Catholic,Roman Catholic,Roman Catholic
258,Roman Catholic,Roman Catholic,Roman Catholic
259,Roman Catholic,Roman Catholic,Roman Catholic
260,Roman Catholic,Roman Catholic,Roman Catholic
261,Other,Other,Other
262,Roman Catholic,Roman Catholic,Roman Catholic
263,Mainline Protestant,Mainline Protestant,Mainline Protestant
264,NA,Conservative Protestant,Protestant No Denomination
265,Mainline Protestant,Mainline Protestant,Mainline Protestant
266,Black Protestant,Black Protestant,Black Protestant
267,Conservative Protestant,Conservative Protestant,Conservative Protestant
268,Roman Catholic,Roman Catholic,Roman Catholic
269,Mainline Protestant,Mainline Protestant,Mainline Protestant
270,Mainline Protestant,Mainline Protestant,Mainline Protestant
271,Roman Catholic,Roman Catholic,Roman Catholic
272,Roman Catholic,Roman Catholic,Roman Catholic
273,Mainline Protestant,Mainline Protestant,Mainline Protestant
274,Roman Catholic,Roman Catholic,Roman Catholic
275,Roman Catholic,Roman Catholic,Roman Catholic
276,Roman Catholic,Roman Catholic,Roman Catholic
277,Conservative Protestant,Conservative Protestant,Conservative Protestant
278,Mainline Protestant,Mainline Protestant,Mainline Protestant
279,Roman Catholic,Roman Catholic,Roman Catholic
280,Mainline Protestant,Mainline Protestant,Mainline Protestant
281,Mainline Protestant,Mainline Protestant,Mainline Protestant
282,Mainline Protestant,Mainline Protestant,Mainline Protestant
283,Mainline Protestant,Mainline Protestant,Mainline Protestant
284,Roman Catholic,Roman Catholic,Roman Catholic
285,Mainline Protestant,Mainline Protestant,Mainline Protestant
286,Mainline Protestant,Mainline Protestant,Mainline Protestant
287,Mainline Protestant,Mainline Protestant,Mainline Protestant
288,None,None,None
289,Roman Catholic,Roman Catholic,Roman Catholic
290,Conservative Protestant,Conservative Protestant,Conservative Protestant
291,Mainline Protestant,Mainline Protestant,Mainline Protestant
292,Roman Catholic,Roman Catholic,Roman Catholic
293,Mainline Protestant,Mainline Protestant,Mainline Protestant
294,None,None,None
295,Roman Catholic,Roman Catholic,Roman Catholic
296,Conservative Protestant,Conservative Protestant,Conservative Protestant
297,Roman Catholic,Roman Catholic,Roman Catholic
298,Roman Catholic,Roman Catholic,Roman Catholic
299,Black Protestant,Black Protestant,Black Protestant
300,Mainline Protestant,Mainline Protestant,Mainline Protestant
301,Conservative Protestant,Conservative Protestant,Protestant No Denomination
302,Roman Catholic,Roman Catholic,Roman Catholic
303,Roman Catholic,Roman Catholic,Roman Catholic
304,Conservative Protestant,Conservative Protestant,Conservative Protestant
305,Roman Catholic,Roman Catholic,Roman Catholic
306,Mainline Protestant,Mainline Protestant,Mainline Protestant
307,Roman Catholic,Roman Catholic,Roman Catholic
308,Roman Catholic,Roman Catholic,Roman Catholic
309,Mainline Protestant,Mainline Protestant,Mainline Protestant
310,Mainline Protestant,Mainline Protestant,Mainline Protestant
311,Black Protestant,Black Protestant,Black Protestant
312,None,None,None
313,Conservative Protestant,Conservative Protestant,Conservative Protestant
314,Other,Other,Other
315,Roman Catholic,Roman Catholic,Roman Catholic
316,Black Protestant,Black Protestant,Black Protestant
317,Black Protestant,Black Protestant,Black Protestant
318,Conservative Protestant,Conservative Protestant,Conservative Protestant
319,Mainline Protestant,Mainline Protestant,Mainline Protestant
320,Roman Catholic,Roman Catholic,Roman Catholic
321,Mainline Protestant,Mainline Protestant,Mainline Protestant
322,Mainline Protestant,Mainline Protestant,Mainline Protestant
323,None,None,None
324,Mainline Protestant,Mainline Protestant,Mainline Protestant
325,Mainline Protestant,Mainline Protestant,Mainline Protestant
326,Mainline Protestant,Mainline Protestant,Mainline Protestant
327,Roman Catholic,Roman Catholic,Roman Catholic
328,Conservative Protestant,Conservative Protestant,Conservative Protestant
329,None,None,None
330,Roman Catholic,Roman Catholic,Roman Catholic
331,Roman Catholic,Roman Catholic,Roman Catholic
332,Other,Other,Other
333,Other,Other,Other
334,Mainline Protestant,Mainline Protestant,Mainline Protestant
335,Mainline Protestant,Mainline Protestant,Mainline Protestant
336,Conservative Protestant,Conservative Protestant,Conservative Protestant
337,Conservative Protestant,Conservative Protestant,Conservative Protestant
338,Mainline Protestant,Mainline Protestant,Mainline Protestant
339,Conservative Protestant,Conservative Protestant,Conservative Protestant
340,Roman Catholic,Roman Catholic,Roman Catholic
341,None,None,None
342,Mainline Protestant,Mainline Protestant,Mainline Protestant
343,Other,Other,Other
344,Conservative Protestant,Conservative Protestant,Conservative Protestant
345,Mainline Protestant,Mainline Protestant,Mainline Protestant
346,Roman Catholic,Roman Catholic,Roman Catholic
347,None,None,None
348,None,None,None
349,Conservative Protestant,Conservative Protestant,Protestant No Denomination
350,Mainline Protestant,Mainline Protestant,Mainline Protestant
351,Conservative Protestant,Conservative Protestant,Conservative Protestant
352,Roman Catholic,Roman Catholic,Roman Catholic
353,Mainline Protestant,Mainline Protestant,Mainline Protestant
354,None,None,None
355,Conservative Protestant,Conservative Protestant,Conservative Protestant
356,Roman Catholic,Roman Catholic,Roman Catholic
357,Other,Other,Other
358,Roman Catholic,Roman Catholic,Roman Catholic
359,Roman Catholic,Roman Catholic,Roman Catholic
360,Roman Catholic,Roman Catholic,Roman Catholic
361,Roman Catholic,Roman Catholic,Roman Catholic
362,Roman Catholic,Roman Catholic,Roman Catholic
363,Conservative Protestant,Conservative Protestant,Conservative Protestant
364,Mainline Protestant,Mainline Protestant,Mainline Protestant
